Operator,Count,Count (%),Number of Params,Params (%),Compute Operations,Compute Operations (%),Memory (in Bytes),Memory (%),Average Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%)
Add,228.0,3.897,0.0,0.0,1477699.0,0.0,2967698.0,0.0,0.498,0.0,0.0,2967698.0,0.0
And,1.0,0.017,0.0,0.0,2048.0,0.0,2048.0,0.0,1.0,0.0,0.0,2048.0,0.0
Cast,3.0,0.051,0.0,0.0,4097.0,0.0,8194.0,0.0,0.5,0.0,0.0,8194.0,0.0
Concat,389.0,6.648,0.0,0.0,0.0,0.0,134750792.0,0.768,0.0,0.0,0.0,134750792.0,0.768
Constant,1801.0,30.781,0.0,0.0,0.0,0.0,14584.0,0.0,0.0,0.0,0.0,14584.0,0.0
ConstantOfShape,71.0,1.213,0.0,0.0,0.0,0.0,6840.0,0.0,0.0,0.0,0.0,6840.0,0.0
Cos,1.0,0.017,0.0,0.0,128.0,0.0,256.0,0.0,0.5,0.0,0.0,256.0,0.0
Div,97.0,1.658,0.0,0.0,1049665.0,0.0,2099330.0,0.0,0.5,0.0,0.0,2099330.0,0.0
Equal,72.0,1.231,0.0,0.0,4439.0,0.0,4439.0,0.0,1.0,0.0,0.0,4439.0,0.0
Expand,71.0,1.213,0.0,0.0,268709952.0,3.456,537469056.0,3.008,0.5,0.0,0.0,537469056.0,3.008
Gather,1.0,0.017,525336576.0,6.542,0.0,0.0,1050681344.0,5.938,0.0,1050673152.0,5.938,8192.0,0.0
Greater,1.0,0.017,0.0,0.0,2048.0,0.0,2048.0,0.0,1.0,0.0,0.0,2048.0,0.0
MatMul,290.0,4.956,7504658432.0,93.422,7505839168.0,96.413,15014687360.0,84.852,0.5,15009316864.0,84.85,5370496.0,0.001
Mul,393.0,6.717,266240.0,0.0,1780055.0,0.0,4094648.0,0.0,0.435,532480.0,0.0,3562168.0,0.0
Neg,64.0,1.094,0.0,0.0,81920.0,0.0,163840.0,0.0,0.5,0.0,0.0,163840.0,0.0
Pow,65.0,1.111,0.0,0.0,266240.0,0.0,532480.0,0.0,0.5,0.0,0.0,532480.0,0.0
Range,6.0,0.103,0.0,0.0,12300.0,0.0,32800.0,0.0,0.375,0.0,0.0,32800.0,0.0
ReduceMean,65.0,1.111,0.0,0.0,65.0,0.0,130.0,0.0,0.5,0.0,0.0,130.0,0.0
Reshape,196.0,3.35,0.0,0.0,0.0,0.0,538050592.0,3.008,0.0,0.0,0.0,538050592.0,3.008
ScatterND,1.0,0.017,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,4096.0,0.0
Shape,497.0,8.494,0.0,0.0,0.0,0.0,13664.0,0.0,0.0,0.0,0.0,13664.0,0.0
Sigmoid,32.0,0.547,0.0,0.0,1835008.0,0.032,917504.0,0.0,2.0,0.0,0.0,917504.0,0.0
Sin,1.0,0.017,0.0,0.0,128.0,0.0,256.0,0.0,0.5,0.0,0.0,256.0,0.0
Slice,164.0,2.803,0.0,0.0,0.0,0.0,421952.0,0.0,0.0,0.0,0.0,421952.0,0.0
Softmax,32.0,0.547,0.0,0.0,3148800.0,0.032,2099200.0,0.0,1.5,0.0,0.0,2099200.0,0.0
Sqrt,65.0,1.111,0.0,0.0,65.0,0.0,130.0,0.0,0.5,0.0,0.0,130.0,0.0
Transpose,161.0,2.752,0.0,0.0,0.0,0.0,269353088.0,1.504,0.0,0.0,0.0,269353088.0,1.504
Trilu,1.0,0.017,0.0,0.0,2048.0,0.0,4096.0,0.0,0.5,0.0,0.0,4096.0,0.0
Unsqueeze,1011.0,17.279,0.0,0.0,0.0,0.0,134463304.0,0.768,0.0,0.0,0.0,134463304.0,0.768
Where,71.0,1.213,0.0,0.0,2391.0,0.0,6840.0,0.0,0.35,0.0,0.0,6840.0,0.0
,5851.0,100.0,8030261248.0,100.0,7784218264.0,100.0,17692852609.0,100.0,14.0,16060522496.0,91.0,1632330113.0,9.0
