Operator,Count,Count (%),Number of Params,Params (%),Compute Operations,Compute Operations (%),Memory (in Bytes),Memory (%),Average Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%)
Add,228.0,3.897,0.0,0.0,2525251.0,0.032,5062802.0,0.032,0.499,0.0,0.0,5062802.0,0.032
And,1.0,0.017,0.0,0.0,2048.0,0.0,2048.0,0.0,1.0,0.0,0.0,2048.0,0.0
Cast,3.0,0.051,0.0,0.0,4097.0,0.0,8194.0,0.0,0.5,0.0,0.0,8194.0,0.0
Concat,389.0,6.648,0.0,0.0,0.0,0.0,268837448.0,1.408,0.0,0.0,0.0,268837448.0,1.408
Constant,1801.0,30.781,0.0,0.0,0.0,0.0,14584.0,0.0,0.0,0.0,0.0,14584.0,0.0
ConstantOfShape,71.0,1.213,0.0,0.0,0.0,0.0,6840.0,0.0,0.0,0.0,0.0,6840.0,0.0
Cos,1.0,0.017,0.0,0.0,128.0,0.0,256.0,0.0,0.5,0.0,0.0,256.0,0.0
Div,97.0,1.658,0.0,0.0,2097217.0,0.032,4194434.0,0.032,0.5,0.0,0.0,4194434.0,0.032
Equal,72.0,1.231,0.0,0.0,4439.0,0.0,4439.0,0.0,1.0,0.0,0.0,4439.0,0.0
Expand,71.0,1.213,0.0,0.0,536883264.0,6.656,1073815680.0,5.568,0.5,0.0,0.0,1073815680.0,5.568
Gather,1.0,0.017,525336576.0,6.542,0.0,0.0,1050681344.0,5.441,0.0,1050673152.0,5.441,8192.0,0.0
Greater,1.0,0.017,0.0,0.0,2048.0,0.0,2048.0,0.0,1.0,0.0,0.0,2048.0,0.0
MatMul,290.0,4.956,7504658432.0,93.422,7506886720.0,93.175,15016782464.0,77.73,0.5,15009316864.0,77.697,7465600.0,0.033
Mul,393.0,6.717,266240.0,0.0,1780055.0,0.0,4094648.0,0.0,0.435,532480.0,0.0,3562168.0,0.0
Neg,64.0,1.094,0.0,0.0,81920.0,0.0,163840.0,0.0,0.5,0.0,0.0,163840.0,0.0
Pow,65.0,1.111,0.0,0.0,266240.0,0.0,532480.0,0.0,0.5,0.0,0.0,532480.0,0.0
Range,6.0,0.103,0.0,0.0,12300.0,0.0,32800.0,0.0,0.375,0.0,0.0,32800.0,0.0
ReduceMean,65.0,1.111,0.0,0.0,65.0,0.0,130.0,0.0,0.5,0.0,0.0,130.0,0.0
Reshape,196.0,3.35,0.0,0.0,0.0,0.0,1074397216.0,5.568,0.0,0.0,0.0,1074397216.0,5.568
ScatterND,1.0,0.017,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,4096.0,0.0
Shape,497.0,8.494,0.0,0.0,0.0,0.0,13664.0,0.0,0.0,0.0,0.0,13664.0,0.0
Sigmoid,32.0,0.547,0.0,0.0,1835008.0,0.032,917504.0,0.0,2.0,0.0,0.0,917504.0,0.0
Sin,1.0,0.017,0.0,0.0,128.0,0.0,256.0,0.0,0.5,0.0,0.0,256.0,0.0
Slice,164.0,2.803,0.0,0.0,0.0,0.0,487424.0,0.0,0.0,0.0,0.0,487424.0,0.0
Softmax,32.0,0.547,0.0,0.0,6291456.0,0.064,4194304.0,0.032,1.5,0.0,0.0,4194304.0,0.032
Sqrt,65.0,1.111,0.0,0.0,65.0,0.0,130.0,0.0,0.5,0.0,0.0,130.0,0.0
Transpose,161.0,2.752,0.0,0.0,0.0,0.0,537526400.0,2.784,0.0,0.0,0.0,537526400.0,2.784
Trilu,1.0,0.017,0.0,0.0,2048.0,0.0,4096.0,0.0,0.5,0.0,0.0,4096.0,0.0
Unsqueeze,1011.0,17.279,0.0,0.0,0.0,0.0,268549960.0,1.408,0.0,0.0,0.0,268549960.0,1.408
Where,71.0,1.213,0.0,0.0,2391.0,0.0,6840.0,0.0,0.35,0.0,0.0,6840.0,0.0
,5851.0,100.0,8030261248.0,100.0,8058676888.0,100.0,19310338369.0,100.0,14.0,16060522496.0,83.0,3249815873.0,17.0
