Node,Operation,Inputs Shape,Weights and Bias Shape,Output Shape,Input Params Size,Weights and Bias Params Size,Output Params Size,Input Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
/Shape,Shape,1x4x64x64,,4,16384,0,4,65536,0,32
/Constant_1,Constant,,,1,0,0,1,0,0,8
/Unsqueeze,Unsqueeze,1,,1,1,0,1,8,0,8
/Concat,Concat,1,,1,1,0,1,8,0,8
/Constant_2,Constant,,,1,0,0,1,0,0,8
/Reshape,Reshape,"1, 1",,1,2,0,1,16,0,8
/Shape_1,Shape,1,,1,1,0,1,8,0,8
/ConstantOfShape,ConstantOfShape,1,,1,1,0,1,8,0,8
/Mul,Mul,1,,1,1,0,1,8,0,8
/Equal,Equal,"1, 1",,1,2,0,1,16,0,1
/Where,Where,"1, 1, 1",,1,3,0,1,17,0,8
/Expand,Expand,"1, 1",,1,2,0,1,16,0,8
/time_proj/Constant,Constant,,,1,0,0,1,0,0,8
/time_proj/Unsqueeze,Unsqueeze,"1, 1",,1x1,2,0,1,16,0,8
/time_proj/Cast,Cast,1x1,,1x1,1,0,1,8,0,4
/time_proj/Constant_1,Constant,,,1x160,0,0,160,0,0,640
/time_proj/Mul,Mul,"1x1, 1x160",,1x160,161,0,160,644,0,640
/time_proj/Sin,Sin,1x160,,1x160,160,0,160,640,0,640
/time_proj/Cos,Cos,1x160,,1x160,160,0,160,640,0,640
/time_proj/Concat,Concat,"1x160, 1x160",,1x320,320,0,320,1280,0,1280
/time_proj/Constant_2,Constant,,,1,0,0,1,0,0,8
/time_proj/Constant_3,Constant,,,1,0,0,1,0,0,8
/time_proj/Constant_4,Constant,,,1,0,0,1,0,0,8
/time_proj/Constant_5,Constant,,,1,0,0,1,0,0,8
/time_proj/Slice,Slice,"1x320, 1, 1, 1, 1",,1x160,324,0,160,1312,0,640
/time_proj/Constant_6,Constant,,,1,0,0,1,0,0,8
/time_proj/Constant_7,Constant,,,1,0,0,1,0,0,8
/time_proj/Constant_8,Constant,,,1,0,0,1,0,0,8
/time_proj/Constant_9,Constant,,,1,0,0,1,0,0,8
/time_proj/Slice_1,Slice,"1x320, 1, 1, 1, 1",,1x160,324,0,160,1312,0,640
/time_proj/Concat_1,Concat,"1x160, 1x160",,1x320,320,0,320,1280,0,1280
/Cast,Cast,1x320,,1x320,320,0,320,1280,0,1280
/time_embedding/linear_1/Gemm,Gemm,1x320,"1280x320, 1280",1x1280,320,410880,1280,1280,1643520,5120
/time_embedding/act/Sigmoid,Sigmoid,1x1280,,1x1280,1280,0,1280,5120,0,5120
/time_embedding/act/Mul,Mul,"1x1280, 1x1280",,1x1280,2560,0,1280,10240,0,5120
/time_embedding/linear_2/Gemm,Gemm,1x1280,"1280x1280, 1280",1x1280,1280,1639680,1280,5120,6558720,5120
/conv_in/Conv,Conv,1x4x64x64,"320x4x3x3, 320",1x320x64x64,16384,11840,1310720,65536,47360,5242880
/down_blocks.0/resnets.0/norm1/Constant,Constant,,,3,0,0,3,0,0,24
/down_blocks.0/resnets.0/norm1/Reshape,Reshape,"1x320x64x64, 3",,1x32x40960,1310723,0,1310720,5242904,0,5242880
/down_blocks.0/resnets.0/norm1/Constant_1,Constant,,,32,0,0,32,0,0,128
/down_blocks.0/resnets.0/norm1/Constant_2,Constant,,,32,0,0,32,0,0,128
/down_blocks.0/resnets.0/norm1/InstanceNormalization,InstanceNormalization,"1x32x40960, 32, 32",,1x32x40960,1310784,0,1310720,5243136,0,5242880
/down_blocks.0/resnets.0/norm1/Shape,Shape,1x320x64x64,,4,1310720,0,4,5242880,0,32
/down_blocks.0/resnets.0/norm1/Reshape_1,Reshape,"1x32x40960, 4",,1x320x64x64,1310724,0,1310720,5242912,0,5242880
/down_blocks.0/resnets.0/norm1/Mul,Mul,1x320x64x64,320x1x1,1x320x64x64,1310720,320,1310720,5242880,1280,5242880
/down_blocks.0/resnets.0/norm1/Add,Add,1x320x64x64,320x1x1,1x320x64x64,1310720,320,1310720,5242880,1280,5242880
/down_blocks.0/resnets.0/act/Sigmoid,Sigmoid,1x320x64x64,,1x320x64x64,1310720,0,1310720,5242880,0,5242880
/down_blocks.0/resnets.0/act/Mul,Mul,"1x320x64x64, 1x320x64x64",,1x320x64x64,2621440,0,1310720,10485760,0,5242880
/down_blocks.0/resnets.0/conv1/Conv,Conv,1x320x64x64,"320x320x3x3, 320",1x320x64x64,1310720,921920,1310720,5242880,3687680,5242880
/down_blocks.0/resnets.0/act_1/Sigmoid,Sigmoid,1x1280,,1x1280,1280,0,1280,5120,0,5120
/down_blocks.0/resnets.0/act_1/Mul,Mul,"1x1280, 1x1280",,1x1280,2560,0,1280,10240,0,5120
/down_blocks.0/resnets.0/time_emb_proj/Gemm,Gemm,1x1280,"320x1280, 320",1x320,1280,409920,320,5120,1639680,1280
/down_blocks.0/resnets.0/Constant,Constant,,,1,0,0,1,0,0,8
/down_blocks.0/resnets.0/Unsqueeze,Unsqueeze,"1x320, 1",,1x320x1,321,0,320,1288,0,1280
/down_blocks.0/resnets.0/Constant_1,Constant,,,1,0,0,1,0,0,8
/down_blocks.0/resnets.0/Unsqueeze_1,Unsqueeze,"1x320x1, 1",,1x320x1x1,321,0,320,1288,0,1280
